hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Billions IGI Airport,"₹ 2,025",8.3,Very good,45,"South West, New Delhi",Deluxe Double Room,1 double bed,+₹ 243 taxes and charges,4,1 night, 2 adults,"₹ 2,025",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Fitness centre, Free parking, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
FabExpress Le Continental,"₹ 3,254",7.8,Good,199,"Paharganj, New Delhi",Deluxe Room,1 double bed,+₹ 390 taxes and charges,3,1 night, 2 adults,"₹ 3,254",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
"The Westin Gurgaon, New Delhi","₹ 21,000",7.8,Good,942,"City Center - Sector 29, Gurgaon",Deluxe King Room City View,1 extra-large double bed,"+₹ 3,780 taxes and charges",5,1 night, 2 adults,"₹ 21,000",False,True,2023-11-07,2023-11-08,"2 swimming pools, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Free parking, Bar, Very good breakfast"
Hotel Royal inn,"₹ 1,170",2.7,Review score,3,Badarpur,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 140 taxes and charges,3,1 night, 2 adults,"₹ 1,170",False,True,2023-11-07,2023-11-08,"Room service, Family rooms, Free parking"
"Sarovar Portico Naraina, Hotel","₹ 7,200",6.6,Review score,77,"West Delhi, New Delhi",Superior Double Bed Rooms,NA,+₹ 864 taxes and charges,3,1 night, 2 adults,"₹ 7,200",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Breakfast"
GURU KRIPA GARDEN,"₹ 1,440",6.7,Review score,34,Govardhan,Family Room,1 double bed,+₹ 173 taxes and charges,0,1 night, 2 adults,"₹ 1,440",False,False,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi"
Hotel Jagannath - Chittaranjan Park,"₹ 1,100",7.3,Good,17,"South Delhi, New Delhi",Deluxe Double Room (2 Adults + 1 Child),1 large double bed,+₹ 132 taxes and charges,3,1 night, 2 adults,"₹ 1,100",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Garden, Air conditioning"
Hotel Aura,"₹ 3,175",7.7,Good,826,"Paharganj, New Delhi",Standard Room,1 double bed,+₹ 381 taxes and charges,3,1 night, 2 adults,"₹ 4,233",False,True,2023-11-07,2023-11-08,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Very good breakfast"
Bloom Boutique l Signature Towers,"₹ 5,000",7.8,Good,400,"Sector 40 - 44, Gurgaon",Deluxe King Room,1 double bed,+₹ 600 taxes and charges,4,1 night, 2 adults,"₹ 5,000",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, 24-hour front desk, Breakfast"
Indus Biznotel,"₹ 5,000",7.8,Good,95,"Greater Kailash 1, New Delhi",Executive Double or Twin Room,Beds: 1 double or 2 singles,+₹ 600 taxes and charges,4,1 night, 2 adults,"₹ 5,000",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Tea/coffee maker in all rooms, Breakfast"
Hotel city lite Near IGI Airport,₹ 940,7.3,Good,534,"South West, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 226 taxes and charges,3,1 night, 2 adults,"₹ 2,350",True,True,2023-11-07,2023-11-08,"Airport shuttle, Room service, Family rooms, Fitness centre, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Very good breakfast"
Zaza Stay,"₹ 5,000",9.0,Superb,132,"South Delhi, New Delhi",Deluxe Double or Twin Room with Garden View,1 extra-large double bed,+₹ 600 taxes and charges,0,1 night, 2 adults,"₹ 5,000",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Free parking, Free WiFi, Terrace, Garden, Laundry, Daily housekeeping, Air conditioning"
FabHotel Kiara,"₹ 2,548",8.4,Very good,306,Gurgaon,Deluxe Room,1 double bed,+₹ 306 taxes and charges,3,1 night, 2 adults,"₹ 2,548",False,True,2023-11-07,2023-11-08,"Room service, Free parking, Free WiFi, 24-hour front desk"
Mahagun Sarovar Portico Suites,"₹ 6,659",6.2,Review score,440,Ghaziabad,Studio - 2 Single Beds,NA,+₹ 799 taxes and charges,4,1 night, 2 adults,"₹ 6,659",True,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Aerocity Purple Orchid,"₹ 1,795",7.5,Good,219,New Delhi,Deluxe Double Room,1 extra-large double bed,+₹ 215 taxes and charges,3,1 night, 2 adults,"₹ 1,795",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
The C Park Inn Karol Bagh Homely Atmosphere,"₹ 2,200",6.9,Review score,91,"Karol bagh, New Delhi",Deluxe Double Room,Beds: 1 double or 2 singles,+₹ 264 taxes and charges,3,1 night, 2 adults,"₹ 4,000",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Facilities for disabled guests, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Breakfast"
The Muse Sarovar Portico Kapashera,"₹ 8,100",6.4,Review score,217,"South West, New Delhi",Superior Room 1 Dbl Bed,1 double bed,"+₹ 1,458 taxes and charges",4,1 night, 2 adults,"₹ 8,100",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Fitness centre, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Hotel The Royal Plaza,"₹ 7,380",4.7,Review score,"1,044","Central Delhi, New Delhi","Standard Double Room - Wifi, 20% Discount on Food & Soft Beverages, Spa & Saloon services",1 extra-large double bed,+₹ 886 taxes and charges,4,1 night, 2 adults,"₹ 7,380",False,False,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle (free), Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Shanti Plaza-By Haveliya Hotels,"₹ 2,193",7.2,Good,655,"Paharganj, New Delhi",Executive Double or Twin Room,Beds: 1 double or 2 singles,+₹ 263 taxes and charges,4,1 night, 2 adults,"₹ 2,580",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Tea/coffee maker in all rooms, Breakfast"
Hotel JRD Exotica,"₹ 5,500",6.0,Review score,69,"Safdarjung Enclave, New Delhi",Superior Twin Room with complimentary Hi Tea from 04pm till 06pm,2 single beds,+₹ 660 taxes and charges,3,1 night, 2 adults,"₹ 5,500",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Fitness centre, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Breakfast"
The Orion Plaza - Nehru Place,"₹ 5,199",7.1,Good,393,"South Delhi, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 624 taxes and charges,4,1 night, 2 adults,"₹ 5,199",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Hotel Town Grand Patel Nagar New Delhi,"₹ 6,750",7.0,Good,75,New Delhi,Double Room with Balcony,1 extra-large double bed,+₹ 810 taxes and charges,3,1 night, 2 adults,"₹ 6,750",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Breakfast"
Treebo Trend Jannat Residency,"₹ 7,703",7.0,Good,45,"South West, New Delhi",Standard Double Room,1 extra-large double bed,"+₹ 1,387 taxes and charges",3,1 night, 2 adults,"₹ 7,703",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Breakfast"
Hotel Ritz,"₹ 4,125",7.8,Good,542,"Paharganj, New Delhi",Deluxe Room,1 double bed,+₹ 495 taxes and charges,3,1 night, 2 adults,"₹ 5,500",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Free parking, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
Collection O 35983 Metaltech,"₹ 2,204",NA,NA,NA,"South West, New Delhi",Classic Triple Room,1 large double bed,+₹ 297 taxes and charges,3,1 night, 2 adults,"₹ 3,391",False,True,2023-11-07,2023-11-08,"Facilities for disabled guests, Laundry, Daily housekeeping, Air conditioning"
FabExpress IVY Inn Sector 35,"₹ 3,411",8.4,Very good,241,Noida,Deluxe Room,1 large double bed,+₹ 409 taxes and charges,3,1 night, 2 adults,"₹ 3,411",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Free parking, Free WiFi"
Gallivanto Inn,"₹ 3,483",8.6,Fabulous,219,"Rohini, New Delhi",Budget Double Room,1 large double bed,+₹ 418 taxes and charges,3,1 night, 2 adults,"₹ 3,483",False,False,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Exceptional breakfast"
Hotel Ajanta,"₹ 5,148",6.8,Review score,590,"Paharganj, New Delhi",Standard Twin Room,2 single beds,+₹ 618 taxes and charges,3,1 night, 2 adults,"₹ 5,148",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Breakfast"
OYO Townhouse 483 Hotel Rivasa Regency,"₹ 2,611",3.9,Review score,9,Dera Māndi,Classic Triple Room,1 large double bed,+₹ 353 taxes and charges,4,1 night, 2 adults,"₹ 2,611",False,True,2023-11-07,2023-11-08,
Hotel Starex Opp Artemis Hospital,"₹ 2,339",7.8,Good,9,Gurgaon,Deluxe Double Room with Balcony,1 large double bed,+₹ 281 taxes and charges,3,1 night, 2 adults,"₹ 3,899",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Breakfast"
The Palm Studio,"₹ 1,499",9.0,Superb,24,Gurgaon,Deluxe Double Room,1 large double bed,+₹ 180 taxes and charges,3,1 night, 2 adults,"₹ 2,498",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, 24-hour front desk, Breakfast"
Hotel View - A Boutique Hotel,"₹ 1,080",6.5,Review score,513,"Mahipalpur, New Delhi",Deluxe Double Room,2 single beds,+₹ 130 taxes and charges,3,1 night, 2 adults,"₹ 1,080",False,False,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Free parking, 24-hour front desk, Daily housekeeping, Air conditioning, Breakfast"
Hotel Diplomat Residency,"₹ 3,960",8.2,Very good,46,"South Delhi, New Delhi",Deluxe Double Room,1 large double bed,+₹ 475 taxes and charges,3,1 night, 2 adults,"₹ 3,960",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms, Breakfast"
FabHotel F9 Kirti Nagar,"₹ 4,246",8.1,Very good,232,"West Delhi, New Delhi",Deluxe Room,1 double bed,+₹ 510 taxes and charges,3,1 night, 2 adults,"₹ 4,246",False,True,2023-11-07,2023-11-08,"Room service, Free WiFi, 24-hour front desk, Daily housekeeping"
Treebo Trend Amexx Residency Sector 27,"₹ 7,105",9.1,Superb,603,Gurgaon,Standard Double Room,1 extra-large double bed,+₹ 853 taxes and charges,3,1 night, 2 adults,"₹ 10,604",True,True,2023-11-07,2023-11-08,"Room service, Family rooms, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Exceptional breakfast"
FabHotel Nirvana Suites,"₹ 3,610",7.3,Good,145,"Jasola, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 433 taxes and charges,3,1 night, 2 adults,"₹ 3,610",True,True,2023-11-07,2023-11-08,"Room service, Family rooms, Facilities for disabled guests, Free WiFi, 24-hour front desk, Laundry, Air conditioning"
Hotel Ivory 32,"₹ 5,445",7.2,Good,88,"Greater Kailash 1, New Delhi",Executive Room,1 large double bed,+₹ 653 taxes and charges,3,1 night, 2 adults,"₹ 5,500",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Breakfast"
Hotel Palazzo Inn PURE VEG,"₹ 2,924",5.6,Review score,45,"Janakpuri, New Delhi",Deluxe Room,1 double bed,+₹ 351 taxes and charges,4,1 night, 2 adults,"₹ 2,924",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Fitness centre, Facilities for disabled guests, Free WiFi, 24-hour front desk, Terrace, Breakfast"
Anara Service Apartments - Greater Kailash Part II,"₹ 4,600",8.5,Very good,118,"South Delhi, New Delhi",Studio with Balcony,Entire studio • 1 bathroom • 1 kitchen • 120m²,Additional charges may apply,0,1 night, 2 adults,"₹ 4,600",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
Vaara,"₹ 3,000",7.9,Good,53,"Hauz Khas, New Delhi",Budget Double Room,1 double bed,+₹ 360 taxes and charges,0,1 night, 2 adults,"₹ 3,000",False,True,2023-11-07,2023-11-08,"Parking, Free WiFi, Air conditioning"
"Hotel Apple Inn, New Delhi Railway Station","₹ 3,328",8.1,Very good,604,"Paharganj, New Delhi",Studio double room,1 double bed,+₹ 399 taxes and charges,4,1 night, 2 adults,"₹ 3,328",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Free parking, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Tea/coffee maker in all rooms, Breakfast"
HOTEL DELHI 55 @ NEW DELHI RAILWAY STATION,"₹ 2,520",7.7,Good,179,"Paharganj, New Delhi",Deluxe Double Room,1 large double bed,+₹ 302 taxes and charges,3,1 night, 2 adults,"₹ 2,520",False,True,2023-11-07,2023-11-08,"Airport shuttle (free), Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Breakfast"
"Country Inn & Suites by Radisson, Bhiwadi","₹ 4,639",7.5,Good,75,Bhiwadi,Superior Room,1 large double bed,+₹ 557 taxes and charges,4,1 night, 2 adults,"₹ 4,639",True,False,2023-11-07,2023-11-08,"Indoor swimming pool, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
J House near Bhikaji,"₹ 2,700",8.6,Fabulous,208,"South Delhi, New Delhi",Budget Double Room,1 double bed,+₹ 324 taxes and charges,0,1 night, 2 adults,"₹ 2,700",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Fitness centre, Free WiFi, Terrace, Laundry, Air conditioning, Good breakfast"
"Beautiful Apartments at Tarudhan Valley Golf Resort, Manesar","₹ 5,400",8.0,Very good,161,Gurgaon,Apartment with Garden View,"3 beds (1 extra-large double, 2 sofa beds)",+₹ 648 taxes and charges,4,1 night, 2 adults,"₹ 5,400",False,True,2023-11-07,2023-11-08,"2 swimming pools, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Bar, Good breakfast"
Taurus Sarovar Portico,"₹ 7,199",5.6,Review score,140,"Mahipalpur, New Delhi",Standard King Room,1 extra-large double bed,+₹ 864 taxes and charges,4,1 night, 2 adults,"₹ 7,199",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Fitness centre, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Hotel Uppal International - New Delhi Railway Station - Paharganj,"₹ 2,170",7.0,Good,252,"Paharganj, New Delhi",Deluxe Double Room,1 large double bed,+₹ 260 taxes and charges,3,1 night, 2 adults,"₹ 2,170",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Terrace, Good breakfast"
Lime Tree Greater Kailash New Delhi - luxury Bed & Breakfast- Next to GK 2 Metro Station,"₹ 5,760",7.3,Good,147,"South Delhi, New Delhi",Deluxe King Room,1 extra-large double bed,+₹ 691 taxes and charges,0,1 night, 2 adults,"₹ 8,000",True,True,2023-11-07,2023-11-08,"Airport shuttle (free), Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Breakfast"
FabHotel The Golf Inn,"₹ 2,972",7.1,Good,51,Noida,Deluxe Room,1 large double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,972",False,True,2023-11-07,2023-11-08,"Room service, Fitness centre, Facilities for disabled guests"
FabHotel F9 Ashok Vihar,"₹ 2,655",8.0,Very good,126,"North Delhi, New Delhi",Deluxe Room,1 double bed,+₹ 319 taxes and charges,3,1 night, 2 adults,"₹ 2,655",False,True,2023-11-07,2023-11-08,"Room service, 24-hour front desk, Air conditioning"
"Cosy Grand, Near Chanakyapuri, Embassy Area","₹ 12,362",8.0,Very good,245,"South Delhi, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 2,225 taxes and charges",3,1 night, 2 adults,"₹ 17,170",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Free parking, Free WiFi, 24-hour front desk, Laundry, Air conditioning, Breakfast"
Hotel Urban Tree,"₹ 3,035",8.5,Very good,519,"Mahipalpur, New Delhi",Small Double Room,1 extra-large double bed,+₹ 364 taxes and charges,3,1 night, 2 adults,"₹ 3,035",False,True,2023-11-07,2023-11-08,"Room service, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
UDS Villa B&B,"₹ 5,976",7.3,Good,565,"Connaught Place, New Delhi",Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 717 taxes and charges,3,1 night, 2 adults,"₹ 8,300",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms, Breakfast"
FabHotel Qotel Chattarpur,"₹ 2,549",6.4,Review score,79,"Chattarpur, New Delhi",Deluxe Room,1 large double bed,+₹ 306 taxes and charges,3,1 night, 2 adults,"₹ 2,549",False,True,2023-11-07,2023-11-08,"Room service, Restaurant, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
OYO Hotel Green Star,"₹ 1,984",7.2,Good,5,Sohna,Classic Triple Room,1 large double bed,+₹ 270 taxes and charges,3,1 night, 2 adults,"₹ 3,052",False,True,2023-11-07,2023-11-08,
Hotel Delhi 37 Near - Delhi Airport,"₹ 2,299",7.9,Good,438,"Mahipalpur, New Delhi",Classic Double Room,1 extra-large double bed,+₹ 276 taxes and charges,3,1 night, 2 adults,"₹ 2,554",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Fabulous breakfast"
The Prime Balaji Deluxe @ New Delhi Railway Station,"₹ 4,125",7.8,Good,313,"Paharganj, New Delhi",Deluxe Double or Twin Room,1 double bed,+₹ 495 taxes and charges,3,1 night, 2 adults,"₹ 5,500",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Free parking, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Fabulous breakfast"
"Lime Tree Hotel Pulkit Gurgaon-Artemis Hospital, Nearest Metro Huda City Centre","₹ 3,319",8.4,Very good,375,Gurgaon,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 398 taxes and charges,3,1 night, 2 adults,"₹ 3,319",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Fabulous breakfast"
Hotel Baljeet Lodge,"₹ 3,000",7.0,Good,128,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 extra-large double bed,+₹ 360 taxes and charges,3,1 night, 2 adults,"₹ 3,000",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning"
Hotel Aerotech plaza,₹ 924,9.0,Superb,19,"South West, New Delhi",Deluxe Room,1 large double bed,+₹ 111 taxes and charges,4,1 night, 2 adults,"₹ 2,309",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Fitness centre, Free parking, 24-hour front desk, Air conditioning, Tea/coffee maker in all rooms, Breakfast"
Hotel Sunstar Heritage,"₹ 3,800",7.7,Good,203,"Karol bagh, New Delhi",Deluxe Room,1 large double bed,+₹ 456 taxes and charges,3,1 night, 2 adults,"₹ 3,800",False,True,2023-11-07,2023-11-08,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
ibis Gurgaon Golf Course Road - An Accor Brand,"₹ 6,744",7.2,Good,"1,142","Golf Course Road, Gurgaon",Standard Queen Room,1 large double bed,+₹ 809 taxes and charges,4,1 night, 2 adults,"₹ 6,744",False,False,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Private parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Good breakfast"
Prakash Kutir B&B,"₹ 4,050",8.7,Fabulous,122,"Hauz Khas, New Delhi",Double Room,1 large double bed,+₹ 486 taxes and charges,0,1 night, 2 adults,"₹ 4,050",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Restaurant, Family rooms, Free parking, Free WiFi, Terrace, Garden, Laundry, Tea/coffee maker in all rooms, Breakfast"
Hotel Siddharth A Boutique Guest House,"₹ 1,104",6.7,Review score,266,"Paharganj, New Delhi",Deluxe Double Room,1 double bed,+₹ 132 taxes and charges,0,1 night, 2 adults,"₹ 1,104",False,True,2023-11-07,2023-11-08,"Room service, Family rooms, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning"
