hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Saltstayz Hotel Huda City Center,"₹ 3,154",8.6,Fabulous,186,Gurgaon,Deluxe Room,1 extra-large double bed,+₹ 378 taxes and charges,3,2 nights, 2 adults,"₹ 4,505",True,True,2023-12-08,2023-12-10,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Very good breakfast"
Treebo Trend Torque,"₹ 18,372",8.0,Very good,23,Greater Noida,Standard Double Room,1 large double bed,"+₹ 3,307 taxes and charges",3,2 nights, 2 adults,"₹ 22,966",True,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, Good breakfast"
"Welcomhotel by ITC Hotels, Dwarka, New Delhi","₹ 28,800",7.0,Good,"2,787","Dwarka, New Delhi",Deluxe Double Room,1 large double bed,"+₹ 5,184 taxes and charges",5,2 nights, 2 adults,"₹ 28,800",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free parking, Facilities for disabled guests, Bar, Good breakfast"
Sheraton New Delhi Hotel,"₹ 50,400",8.5,Very good,"1,185","Saket, New Delhi",Executive Double or Twin Room,1 double bed,"+₹ 9,072 taxes and charges",5,2 nights, 2 adults,"₹ 50,400",True,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Facilities for disabled guests, Bar, Very good breakfast"
The Vanaashrya Sariska,"₹ 19,952",8.3,Very good,173,Tehla,Luxury Cottage,Entire bungalow • 1 bathroom • 60m²,"+₹ 3,591 taxes and charges",4,2 nights, 2 adults,"₹ 19,952",True,True,2023-12-08,2023-12-10,"Free parking, Restaurant, Non-smoking rooms, Bar, Good breakfast"
Taj City Centre Gurugram,"₹ 39,000",8.7,Fabulous,"1,967","Sector 40 - 44, Gurgaon","Superior Room king bed with upgrade to Deluxe Room (Subject to avl),10% discount on food & Soft Beverages",1 extra-large double bed,"+₹ 7,020 taxes and charges",5,2 nights, 2 adults,"₹ 39,000",False,True,2023-12-08,2023-12-10,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Fabulous breakfast"
Radisson Blu Hotel New Delhi Paschim Vihar,"₹ 20,000",6.5,Review score,"1,831","Pashim Vihar, New Delhi",Superior Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 3,600 taxes and charges",5,2 nights, 2 adults,"₹ 20,000",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Good breakfast"
The Suryaa New Delhi,"₹ 42,585",7.4,Good,"1,086","New Friends Colony, New Delhi","Club Room with complimentary breakfast, 10% Discount on F&B SPA & SALON,3 Pints of Beer at Atrium Lounge(within operational timings)",1 extra-large double bed,"+₹ 7,665 taxes and charges",5,2 nights, 2 adults,"₹ 42,585",True,True,2023-12-08,2023-12-10,"2 swimming pools, Airport shuttle (free), Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Fortune Park Orange, Sidhrawali - Member ITC's Hotel Group","₹ 9,000",8.0,Very good,74,Bhiwadi,Deluxe Double Room,1 extra-large double bed,"+₹ 1,080 taxes and charges",4,2 nights, 2 adults,"₹ 9,000",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hilton Garden Inn New Delhi/Saket,"₹ 31,800",7.5,Good,"1,334","Saket, New Delhi",King Guest Room,1 large double bed,"+₹ 5,724 taxes and charges",5,2 nights, 2 adults,"₹ 31,800",True,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Colonel’s Retreat,"₹ 18,720",8.7,Fabulous,544,"South Delhi, New Delhi",Standard Double or Twin Room,Multiple bed types,Includes taxes and charges,3,2 nights, 2 adults,"₹ 18,720",True,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, Terrace, Laundry, Tea/coffee maker in all rooms, Fabulous breakfast"
Southwest Inn - Boutique Hotel,"₹ 12,200",6.2,Review score,308,"Dwarka, New Delhi",Superior Double or Twin Room,1 large double bed,"+₹ 1,464 taxes and charges",3,2 nights, 2 adults,"₹ 12,200",False,True,2023-12-08,2023-12-10,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Breakfast"
Hotel Decent Suites - Delhi Airport,"₹ 5,198",7.8,Good,"1,762","South West, New Delhi",Deluxe King Room,1 double bed,+₹ 624 taxes and charges,4,2 nights, 2 adults,"₹ 7,997",True,True,2023-12-08,2023-12-10,NA
FabExpress Chawla House,"₹ 6,365",7.6,Good,5,"East Delhi, New Delhi",Deluxe Room,1 double bed,+₹ 141 taxes and charges,3,2 nights, 2 adults,"₹ 6,365",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Air conditioning, Breakfast"
Townhouse 86392 Parker Plaza,"₹ 3,394",5.5,Review score,6,Rāi,Classic Triple Room,1 extra-large double bed,+₹ 519 taxes and charges,4,2 nights, 2 adults,"₹ 5,222",False,True,2023-12-08,2023-12-10,"Restaurant, Room service, Family rooms, Breakfast"
Le Meridien New Delhi,"₹ 29,300",7.7,Good,"1,052","Central Delhi, New Delhi",Executive Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 5,274 taxes and charges",5,2 nights, 2 adults,"₹ 29,300",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Good breakfast"
